info,rate,title,title2,hot,img_url
[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元,7.6,"
                一个人的好天气

                
              ",ひとり日和,"(
                    65787人评价
                )",https://img3.doubanio.com/spic/s2732804.jpg
郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,7.4,"
                1995-2005夏至未至

                
              ",,"(
                    66178人评价
                )",https://img3.doubanio.com/spic/s1302594.jpg
（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80,8.5,"
                苏菲的世界

                
              ",Sofies verden,"(
                    57711人评价
                )",https://img3.doubanio.com/spic/s2153661.jpg
亦舒 / 新世界出版社 / 2007-2 / 22.00元,8.1,"
                喜宝

                
              ",,"(
                    40480人评价
                )",https://img1.doubanio.com/spic/s5813979.jpg
[日]东野圭吾 / 赵峻 / 南海出版公司 / 2010-1 / 20.00元,7.6,"
                放学后

                
              ",はうかご,"(
                    61768人评价
                )",https://img3.doubanio.com/spic/s4066862.jpg
[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,8.6,"
                哈利·波特与凤凰社

                
              ",Harry Potter and the Order of the Phoenix,"(
                    54804人评价
                )",https://img1.doubanio.com/spic/s1100627.jpg
余秋雨 / 东方出版中心 / 2001-4 / 22.00元,7.8,"
                文化苦旅

                
              ",,"(
                    59453人评价
                )",https://img3.doubanio.com/spic/s2166670.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,8.1,"
                海边的卡夫卡

                
              ",,"(
                    57375人评价
                )",https://img3.doubanio.com/spic/s1094940.jpg
南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,8.4,"
                盗墓笔记

                
                  ",,"(
                    55539人评价
                )",https://img3.doubanio.com/spic/s4442295.jpg
[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2,"
                三国演义（全二册）

                
              ",,"(
                    51580人评价
                )",https://img3.doubanio.com/spic/s1076932.jpg
余华 / 南海出版公司 / 1998-9 / 16.80元,8.6,"
                许三观卖血记

                
              ",,"(
                    54059人评价
                )",https://img3.doubanio.com/spic/s1074291.jpg
大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,8.9,"
                基督山伯爵

                
              ",Le Comte de Monte-Cristo,"(
                    47225人评价
                )",https://img3.doubanio.com/spic/s3248016.jpg
[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,8.4,"
                恶意

                
              ",悪意,"(
                    54747人评价
                )",https://img3.doubanio.com/spic/s3814606.jpg
[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,"
                窗边的小豆豆

                
              ",,"(
                    53124人评价
                )",https://img3.doubanio.com/spic/s1067911.jpg
余华 / 上海文艺出版社 / 2005-8 / 16.00元,8.3,"
                兄弟（上）

                
              ",,"(
                    55294人评价
                )",https://img3.doubanio.com/spic/s1427312.jpg
三毛 / 皇冠出版社 / 1976 / 160 TWD,9.0,"
                撒哈拉的故事

                
              ",,"(
                    51601人评价
                )",https://img3.doubanio.com/spic/s3563113.jpg
艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元,8.4,"
                呼啸山庄

                
              ",Wuthering Heights,"(
                    53245人评价
                )",https://img3.doubanio.com/spic/s1095383.jpg
金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,"
                笑傲江湖（全四册）

                
              ",,"(
                    46823人评价
                )",https://img3.doubanio.com/spic/s2157335.jpg
今何在 / 光明日报出版社 / 2001-4 / 14.80元,8.4,"
                悟空传

                
                  ",,"(
                    52339人评价
                )",https://img3.doubanio.com/spic/s9026255.jpg
唐七公子 / 沈阳出版社 / 2009-1 / 26.80,8.3,"
                三生三世 十里桃花

                
              ",,"(
                    52934人评价
                )",https://img1.doubanio.com/spic/s3551687.jpg
王小波 / 花城出版社 / 1999-3 / 19.00元,8.8,"
                黄金时代

                
                  ",,"(
                    50331人评价
                )",https://img3.doubanio.com/spic/s1076372.jpg
刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,"
                民主的细节

                
                  ",,"(
                    50385人评价
                )",https://img1.doubanio.com/spic/s4146437.jpg
[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.4,"
                少有人走的路

                
                  ",The Road Less Traveled,"(
                    50271人评价
                )",https://img3.doubanio.com/spic/s2144391.jpg
张德芬 / 华夏出版社 / 2008-1 / 29.00,8.1,"
                遇见未知的自己

                
              ",,"(
                    51232人评价
                )",https://img3.doubanio.com/spic/s3403254.jpg
龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.7,"
                亲爱的安德烈

                
              ",,"(
                    48493人评价
                )",https://img1.doubanio.com/spic/s3993878.jpg
[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2,"
                福尔摩斯探案全集（上中下）

                
              ",,"(
                    46116人评价
                )",https://img3.doubanio.com/spic/s1229240.jpg
张嘉佳 / 湖南文艺出版社 / 2013-11-1 / 36.00元,7.3,"
                从你的全世界路过

                
                  ",,"(
                    55205人评价
                )",https://img3.doubanio.com/spic/s27102925.jpg
[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,9.2,"
                一九八四·动物农场

                
              ",Nineteen Eighty-Four,"(
                    23665人评价
                )",https://img3.doubanio.com/spic/s1089916.jpg
郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,6.7,"
                小时代1.0折纸时代

                
              ",,"(
                    57465人评价
                )",https://img3.doubanio.com/spic/s3251696.jpg
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.7,"
                灿烂千阳

                
              ",A Thousand Splendid Suns,"(
                    46476人评价
                )",https://img3.doubanio.com/spic/s2651394.jpg
[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,"
                霍乱时期的爱情

                
              ",El amor en los tiempos del cólera,"(
                    45904人评价
                )",https://img3.doubanio.com/spic/s11284102.jpg
[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元,8.9,"
                百年孤独

                
              ",Cien años de soledad,"(
                    46039人评价
                )",https://img1.doubanio.com/spic/s2785398.jpg
海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.3,"
                老人与海

                
              ",The Old Man and the Sea,"(
                    48452人评价
                )",https://img3.doubanio.com/spic/s1050021.jpg
安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,7.8,"
                素年锦时

                
              ",,"(
                    50304人评价
                )",https://img3.doubanio.com/spic/s2686185.jpg
[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元,7.7,"
                洛丽塔

                
              ",,"(
                    50201人评价
                )",https://img1.doubanio.com/spic/s1483347.jpg
蔡智恒 / 知识出版社 / 1999-11-1 / 12.80,7.4,"
                第一次的亲密接触

                
              ",,"(
                    51270人评价
                )",https://img3.doubanio.com/spic/s1327750.jpg
[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元,8.4,"
                1Q84 BOOK 2

                
                  ",,"(
                    46261人评价
                )",https://img3.doubanio.com/spic/s4393610.jpg
[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,"
                情书

                
              ",ラヴレター,"(
                    44104人评价
                )",https://img3.doubanio.com/spic/s1127135.jpg
安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元,7.8,"
                彼岸花

                
              ",,"(
                    47733人评价
                )",https://img3.doubanio.com/spic/s1077536.jpg
韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,7.4,"
                一座城池

                
              ",,"(
                    49577人评价
                )",https://img3.doubanio.com/spic/s1627352.jpg
[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.2,"
                白夜行

                
                  ",,"(
                    41691人评价
                )",https://img1.doubanio.com/spic/s24514468.jpg
[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,7.9,"
                麦田里的守望者

                
              ",The Catcher in the Rye,"(
                    46772人评价
                )",https://img3.doubanio.com/spic/s2738366.jpg
韩寒 / 万卷出版公司 / 2009-1 / 25.00元,7.5,"
                他的国

                
              ",,"(
                    48611人评价
                )",https://img1.doubanio.com/spic/s3557848.jpg
金庸 / 三联书店 / 1994-5 / 76.8,8.8,"
                神雕侠侣

                
              ",,"(
                    42516人评价
                )",https://img3.doubanio.com/spic/s26018916.jpg
[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.7,"
                牧羊少年奇幻之旅

                
              ",O Alquimista,"(
                    42447人评价
                )",https://img1.doubanio.com/spic/s3668327.jpg
安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,7.5,"
                八月未央

                
              ",,"(
                    47030人评价
                )",https://img1.doubanio.com/spic/s1084388.jpg
文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,8.5,"
                这些都是你给我的爱

                
              ",,"(
                    42479人评价
                )",https://img3.doubanio.com/spic/s4219471.jpg
笛安 / 长江文艺出版社 / 2009-3 / 22.80元,8.0,"
                西决

                
              ",,"(
                    44622人评价
                )",https://img3.doubanio.com/spic/s3658646.jpg
小仲马 / 王振孙 / 外国文学出版社 / 1997-03-01 / 9.00,8.1,"
                茶花女

                
              ",La Dame aux camélias,"(
                    43845人评价
                )",https://img1.doubanio.com/spic/s1008927.jpg
安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元,7.9,"
                清醒纪

                
              ",,"(
                    44185人评价
                )",https://img3.doubanio.com/spic/s1071442.jpg
吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,"
                这些人，那些事

                
              ",,"(
                    40036人评价
                )",https://img3.doubanio.com/spic/s6828981.jpg
[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,7.8,"
                芒果街上的小屋

                
              ",The House on Mango Street,"(
                    42658人评价
                )",https://img3.doubanio.com/spic/s1668712.jpg
安东尼 / 长江文艺出版社 / 2008-3 / 18.00,8.4,"
                陪安东尼度过漫长岁月

                
              ",,"(
                    40014人评价
                )",https://img3.doubanio.com/spic/s2998096.jpg
当年明月 / 中国友谊出版公司 / 2007-1 / 24.80,8.9,"
                明朝那些事儿（贰）

                
                  ",,"(
                    38164人评价
                )",https://img3.doubanio.com/spic/s4428714.jpg
[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元,9.5,"
                灌篮高手31

                
              ",,"(
                    26292人评价
                )",https://img3.doubanio.com/spic/s2853431.jpg
[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,"
                东方快车谋杀案

                
              ",Murder on the Orient Express,"(
                    31031人评价
                )",https://img1.doubanio.com/spic/s1765799.jpg
蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元,7.2,"
                蔡康永的说话之道

                
              ",,"(
                    45218人评价
                )",https://img3.doubanio.com/spic/s4578461.jpg
[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.1,"
                当我谈跑步时我谈些什么

                
              ",走ることについて語るときに僕の語ること,"(
                    40178人评价
                )",https://img3.doubanio.com/spic/s3507580.jpg
（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,8.0,"
                羊脂球

                
              ",,"(
                    40024人评价
                )",https://img3.doubanio.com/spic/s1469280.jpg
三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,"
                撒哈拉的故事

                
              ",,"(
                    35602人评价
                )",https://img3.doubanio.com/spic/s1066570.jpg
幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,"
                地下铁

                
              ",,"(
                    38496人评价
                )",https://img3.doubanio.com/spic/s1672971.jpg
艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,7.9,"
                山楂树之恋

                
              ",,"(
                    39949人评价
                )",https://img3.doubanio.com/spic/s2684486.jpg
[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,7.9,"
                鲁滨逊漂流记

                
              ",,"(
                    39755人评价
                )",https://img3.doubanio.com/spic/s1242786.jpg
[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.3,"
                巴黎圣母院

                
              ",Notre-Dame de Paris,"(
                    38204人评价
                )",https://img3.doubanio.com/spic/s1609162.jpg
余华 / 作家出版社 / 2012-8-1 / 20.00元,9.3,"
                活着

                
              ",,"(
                    35231人评价
                )",https://img3.doubanio.com/spic/s27279654.jpg
[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,"
                一个陌生女人的来信

                
              ",Brief einer Unbekannten,"(
                    36745人评价
                )",https://img3.doubanio.com/spic/s10310945.jpg
王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.0,"
                沉默的大多数

                
                  ",,"(
                    35151人评价
                )",https://img1.doubanio.com/spic/s1447349.jpg
安意如 / 天津教育出版社 / 2006-8 / 23.80元,7.3,"
                人生若只如初见

                
                  ",,"(
                    40675人评价
                )",https://img1.doubanio.com/spic/s1787057.jpg
[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,8.1,"
                麦田里的守望者

                
              ",The Catcher in the Rye,"(
                    38055人评价
                )",https://img1.doubanio.com/spic/s2380159.jpg
唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.6,"
                华胥引（全二册）

                
              ",,"(
                    35587人评价
                )",https://img3.doubanio.com/spic/s4599550.jpg
[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,"
                肖申克的救赎

                
              ",Different Seasons,"(
                    34161人评价
                )",https://img3.doubanio.com/spic/s4007145.jpg
（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,9.1,"
                安徒生童话故事集

                
              ",,"(
                    34033人评价
                )",https://img3.doubanio.com/spic/s1034062.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,7.8,"
                且听风吟

                
              ",風の歌を聴け,"(
                    38338人评价
                )",https://img1.doubanio.com/spic/s1029019.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.4,"
                挪威的森林

                
              ",ノルウェイの森,"(
                    35701人评价
                )",https://img3.doubanio.com/spic/s2897086.jpg
[美] 加布瑞埃拉·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00,7.7,"
                岛上书店

                
              ",The Storied Life of A. J. Fikry,"(
                    38485人评价
                )",https://img3.doubanio.com/spic/s28049685.jpg
落落 / 春风文艺出版社 / 2005-2 / 20.00元,7.6,"
                年华是无效信

                
              ",,"(
                    38323人评价
                )",https://img1.doubanio.com/spic/s2660837.jpg
明晓溪 / 新世界出版社 / 2005-5 / 20.00元,6.8,"
                会有天使替我爱你

                
              ",,"(
                    41408人评价
                )",https://img3.doubanio.com/spic/s1320494.jpg
明晓溪 / 新世界出版社 / 2006-3 / 20.00元,7.0,"
                泡沫之夏

                
              ",,"(
                    40241人评价
                )",https://img3.doubanio.com/spic/s1914522.jpg
[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,7.6,"
                钢铁是怎样炼成的

                
              ",How the Steel Was Tempered,"(
                    38137人评价
                )",https://img1.doubanio.com/spic/s2241708.jpg
张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00,7.6,"
                小团圆

                
              ",,"(
                    38166人评价
                )",https://img3.doubanio.com/spic/s4197443.jpg
张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.3,"
                红玫瑰与白玫瑰

                
              ",,"(
                    35277人评价
                )",https://img3.doubanio.com/spic/s3695882.jpg
幾米 / 格林 / 2000-2-1 / NT$ 299,8.5,"
                月亮忘記了

                
              ",,"(
                    34558人评价
                )",https://img1.doubanio.com/spic/s1385508.jpg
鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.8,"
                呐喊

                
              ",,"(
                    33495人评价
                )",https://img3.doubanio.com/spic/s4696893.jpg
[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元,7.8,"
                在路上

                
              ",On the Road,"(
                    36473人评价
                )",https://img1.doubanio.com/spic/s2577057.jpg
三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,"
                哭泣的骆驼

                
              ",,"(
                    28659人评价
                )",https://img3.doubanio.com/spic/s1020454.jpg
金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,8.9,"
                射雕英雄传（全四册）

                
              ",,"(
                    30703人评价
                )",https://img3.doubanio.com/spic/s2157336.jpg
江南 / 华文出版社 / 2004-1 / 25.00元,8.4,"
                此间的少年

                
              ",,"(
                    33852人评价
                )",https://img1.doubanio.com/spic/s1068707.jpg
陈忠实 / 人民文学出版社 / 1997年 / 28.00元,8.6,"
                白鹿原

                
              ",,"(
                    33201人评价
                )",https://img1.doubanio.com/spic/s9137567.jpg
